frame_counter,prob_free,prob_left,prob_right,prob_blocked,direction,force,rot_force,rot_force_p_component,rot_force_d_component,n_frames_stuck,exploration
1,0.963,0.002,0.035,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
2,0.922,0.003,0.074,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
3,0.956,0.0,0.043,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
4,0.944,0.001,0.055,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
5,0.947,0.001,0.051,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
6,0.986,0.0,0.013,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
7,0.884,0.015,0.094,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
8,0.981,0.001,0.018,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
9,0.958,0.001,0.04,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
10,0.9,0.004,0.094,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
11,0.913,0.003,0.081,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
12,0.894,0.004,0.101,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
13,0.989,0.001,0.01,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
14,0.984,0.001,0.015,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
15,0.986,0.001,0.013,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
16,0.993,0.0,0.007,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
17,0.975,0.002,0.022,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
18,0.973,0.001,0.025,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
19,0.974,0.002,0.023,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
20,0.982,0.002,0.014,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
21,0.99,0.002,0.006,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
22,0.989,0.002,0.007,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
23,0.99,0.002,0.006,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
24,0.999,0.0,0.0,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
25,0.995,0.001,0.004,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
26,0.97,0.01,0.013,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
27,0.982,0.005,0.009,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
28,0.991,0.003,0.006,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
29,0.997,0.0,0.002,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
30,0.98,0.007,0.009,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
31,0.975,0.006,0.016,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
32,0.991,0.001,0.006,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
33,0.99,0.002,0.007,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
34,0.99,0.0,0.01,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
35,0.939,0.006,0.024,0.031,FWRD,0.3,0.0,0.0,0.0,0,False
36,0.536,0.019,0.118,0.327,FWRD,0.3,0.0,0.0,0.0,0,False
37,0.049,0.014,0.003,0.934,LEFT,0.01,-0.007,-0.002,-0.005,1,False
38,0.238,0.069,0.044,0.65,LEFT,0.01,-0.005,-0.004,-0.001,2,False
39,0.098,0.051,0.01,0.842,LEFT,0.01,-0.008,-0.007,-0.001,3,False
40,0.006,0.06,0.003,0.931,LEFT,0.01,-0.011,-0.01,-0.001,4,False
41,0.006,0.122,0.001,0.872,LEFT,0.02,-0.025,-0.022,-0.003,5,False
42,0.398,0.493,0.025,0.084,FWRD,0.3,0.0,0.0,0.0,0,False
43,0.284,0.607,0.024,0.085,FWRD,0.3,0.0,0.0,0.0,0,False
44,0.107,0.806,0.024,0.063,LEFT,0.15,-0.151,-0.141,-0.01,1,False
45,0.171,0.768,0.019,0.043,LEFT,0.13,-0.133,-0.135,0.002,2,False
46,0.111,0.868,0.01,0.011,LEFT,0.16,-0.16,-0.154,-0.005,3,False
47,0.162,0.811,0.011,0.016,LEFT,0.14,-0.141,-0.144,0.003,4,False
48,0.307,0.653,0.027,0.014,FWRD,0.3,0.0,0.0,0.0,0,False
49,0.419,0.56,0.014,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
50,0.599,0.273,0.107,0.021,FWRD,0.3,0.0,0.0,0.0,0,False
51,0.332,0.628,0.029,0.012,FWRD,0.3,0.0,0.0,0.0,0,False
52,0.426,0.556,0.011,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
53,0.678,0.295,0.022,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
54,0.667,0.31,0.022,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
55,0.789,0.166,0.042,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
56,0.501,0.463,0.031,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
57,0.301,0.607,0.08,0.013,FWRD,0.3,0.0,0.0,0.0,0,False
58,0.588,0.343,0.061,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
59,0.453,0.474,0.047,0.026,FWRD,0.3,0.0,0.0,0.0,0,False
60,0.721,0.267,0.009,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
61,0.85,0.127,0.018,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
62,0.834,0.142,0.021,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
63,0.77,0.148,0.078,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
64,0.67,0.282,0.042,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
65,0.335,0.648,0.013,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
66,0.621,0.348,0.026,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
67,0.791,0.196,0.011,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
68,0.767,0.188,0.041,0.004,FWRD,0.3,0.0,0.0,0.0,0,False
69,0.921,0.073,0.006,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
70,0.559,0.419,0.018,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
71,0.544,0.427,0.025,0.003,FWRD,0.3,0.0,0.0,0.0,0,False
72,0.23,0.745,0.022,0.002,LEFT,0.15,-0.146,-0.13,-0.016,1,False
73,0.663,0.322,0.014,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
74,0.13,0.848,0.02,0.002,LEFT,0.18,-0.175,-0.149,-0.026,1,False
75,0.025,0.962,0.012,0.001,LEFT,0.18,-0.177,-0.171,-0.006,2,False
76,0.319,0.556,0.122,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
77,0.009,0.96,0.029,0.002,LEFT,0.19,-0.192,-0.167,-0.025,1,False
78,0.064,0.903,0.029,0.004,LEFT,0.15,-0.155,-0.157,0.003,2,False
79,0.526,0.387,0.087,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
80,0.893,0.073,0.033,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
81,0.212,0.11,0.672,0.005,RGHT,0.13,0.131,0.101,0.03,1,False
82,0.207,0.428,0.343,0.023,LEFT,0.05,-0.048,-0.015,-0.032,2,False
83,0.167,0.605,0.091,0.137,LEFT,0.11,-0.114,-0.093,-0.021,3,False
84,0.732,0.241,0.018,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
85,0.938,0.043,0.018,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
86,0.547,0.323,0.054,0.076,FWRD,0.3,0.0,0.0,0.0,0,False
87,0.846,0.085,0.061,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
88,0.648,0.254,0.093,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
89,0.69,0.08,0.22,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
90,0.446,0.376,0.147,0.031,FWRD,0.3,0.0,0.0,0.0,0,False
91,0.819,0.096,0.078,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
92,0.717,0.155,0.12,0.009,FWRD,0.3,0.0,0.0,0.0,0,False
93,0.71,0.165,0.105,0.02,FWRD,0.3,0.0,0.0,0.0,0,False
94,0.768,0.052,0.173,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
95,0.895,0.021,0.082,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
96,0.763,0.046,0.185,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
97,0.37,0.02,0.492,0.119,FWRD,0.3,0.0,0.0,0.0,0,False
98,0.356,0.03,0.528,0.086,FWRD,0.3,0.0,0.0,0.0,0,False
99,0.781,0.034,0.168,0.016,FWRD,0.3,0.0,0.0,0.0,0,False
100,0.722,0.047,0.226,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
101,0.743,0.029,0.226,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
102,0.576,0.07,0.346,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
103,0.781,0.068,0.139,0.013,FWRD,0.3,0.0,0.0,0.0,0,False
104,0.515,0.286,0.18,0.019,FWRD,0.3,0.0,0.0,0.0,0,False
